PNRef|TAXID|PaymentDate|Status
PN0001|1234567890123|2023-06-09|COMPLETED
PN0002|1234567890123|2023-06-10|COMPLETED
PN0003|1234567890123|2023-06-11|COMPLETED
PN0004|1234567890123|2023-06-12|COMPLETED
PN0005|1234567890123|2023-06-13|COMPLETED
PN0006|1234567890123|2023-06-14|COMPLETED
PN0007|1234567890123|2023-06-15|COMPLETED
PN0008|1234567890123|2023-06-16|COMPLETED
PN0009|1234567890123|2023-06-17|COMPLETED
PN0010|1234567890123|2023-06-18|COMPLETED
PN0011|1234567890123|2023-06-19|COMPLETED
PN0012|1234567890123|2023-06-20|COMPLETED
PN0013|1234567890123|2023-06-21|COMPLETED
PN0014|1234567890123|2023-06-22|COMPLETED
PN0015|1234567890123|2023-06-23|COMPLETED
PN0016|1234567890123|2023-06-24|COMPLETED
PN0017|1234567890123|2023-06-25|COMPLETED
PN0018|1234567890123|2023-06-26|COMPLETED
PN0019|1234567890123|2023-06-27|COMPLETED
PN0020|1234567890123|2023-06-28|COMPLETED
PN0021|1234567890123|2023-06-29|COMPLETED
PN0022|1234567890123|2023-06-30|COMPLETED
PN0023|1234567890123|2023-07-01|COMPLETED
PN0024|1234567890123|2023-07-02|COMPLETED
PN0025|1234567890123|2023-07-03|COMPLETED
